"Time";"Displacement"
"2020-12-01T12:09";8191
"2020-12-01T12:14";8191
"2020-12-01T12:20";8191
"2020-12-01T12:25";8191
"2020-12-01T12:30";8191
"2020-12-01T12:35";8191
"2020-12-01T12:40";8191
"2020-12-01T12:45";8191
"2020-12-01T12:50";8191
"2020-12-01T12:55";8191
"2020-12-01T13:01";8191
"2020-12-01T13:06";8191
"2020-12-01T13:11";8191
"2020-12-01T13:16";8191
"2020-12-01T13:21";8191
"2020-12-01T13:26";8191
"2020-12-01T13:31";8191
"2020-12-01T13:36";8191
"2020-12-01T13:42";8191
"2020-12-01T13:47";8191
"2020-12-01T13:52";8191
"2020-12-01T13:57";8191
"2020-12-01T14:02";8191
"2020-12-01T14:07";8191
"2020-12-01T14:12";8191
"2020-12-01T14:17";8191
"2020-12-01T14:22";8191
"2020-12-01T14:28";8191
"2020-12-01T14:33";8191
"2020-12-01T14:38";8191
"2020-12-01T14:43";8191
"2020-12-01T14:48";8191
"2020-12-01T14:53";8191
"2020-12-01T15:03";8191
"2020-12-01T15:09";8191
"2020-12-01T15:14";8191
"2020-12-01T15:19";8191
"2020-12-01T15:24";8191
"2020-12-01T15:29";8191
"2020-12-01T15:34";8191
"2020-12-01T15:39";8191
"2020-12-01T15:44";8191
"2020-12-01T15:50";8191
"2020-12-01T15:55";8191
"2020-12-01T16:00";8191
"2020-12-01T16:05";8191
"2020-12-01T16:10";8191
"2020-12-01T16:15";8191
"2020-12-01T16:20";8191
"2020-12-01T16:26";8191
"2020-12-01T16:31";8191
"2020-12-01T16:36";8191
"2020-12-01T16:41";8191
"2020-12-01T16:46";8191
"2020-12-01T16:51";8191
"2020-12-01T16:56";8191
"2020-12-01T17:01";8191
"2020-12-01T17:07";8191
"2020-12-01T17:12";8191
"2020-12-01T17:17";8191
"2020-12-01T17:22";8191
"2020-12-01T17:27";8191
"2020-12-01T17:32";8191
"2020-12-01T17:37";8191
"2020-12-01T17:42";8191
"2020-12-01T17:47";8191
"2020-12-01T17:53";8191
"2020-12-01T17:58";8191
"2020-12-01T18:03";8191
"2020-12-01T18:08";8191
"2020-12-01T18:13";8191
"2020-12-01T18:18";8191
"2020-12-01T18:23";8191
"2020-12-01T18:28";8191
"2020-12-01T18:34";8191
"2020-12-01T18:39";8191
"2020-12-01T18:44";8191
"2020-12-01T18:49";8191
"2020-12-01T18:54";8191
"2020-12-01T18:59";8191
"2020-12-01T19:04";8191
